"name","category","market_demand_score"
"Python","technical","96"
"SQL","technical","93"
"Java","technical","88"
"C#","technical","82"
"Go","technical","85"
"JavaScript","technical","92"
"TypeScript","technical","91"
"React","technical","94"
"Angular","technical","79"
"Vue","technical","76"
"Node.js","technical","90"
"Spring Boot","technical","84"
"Django","technical","80"
"Flask","technical","78"
"FastAPI","technical","83"
"Machine Learning","technical","97"
"Deep Learning","technical","95"
"Data Analysis","technical","89"
"Tableau","technical","81"
"Power BI","technical","84"
"Excel","technical","74"
"AWS","technical","98"
"Azure","technical","90"
"GCP","technical","88"
"Docker","technical","92"
"Kubernetes","technical","91"
"Terraform","technical","86"
"Linux","technical","87"
"Git","technical","85"
"CI CD","technical","84"
"Cybersecurity","technical","89"
"Testing Automation","technical","83"
"Prompt Engineering","technical","90"
"System Design","technical","93"
"REST APIs","technical","91"
"GraphQL","technical","80"
"Communication","soft","85"
"Leadership","soft","87"
"Problem Solving","soft","90"
"Teamwork","soft","84"
"Negotiation","soft","76"
"Time Management","soft","79"
"Adaptability","soft","82"
"Stakeholder Management","soft","80"
"Agile Methodology","domain","88"
"Project Management","domain","89"
"Product Strategy","domain","81"
"UI UX Design","domain","83"
