"title","department","min_experience_years","required_skills","preferred_skills"
"Software Engineer","Engineering","2","Python,SQL,Problem Solving,REST APIs","AWS,React,Git"
"Senior Software Engineer","Engineering","5","System Design,JavaScript,TypeScript,CI CD","AWS,Docker,Kubernetes"
"Data Analyst","Data","2","SQL,Data Analysis,Excel,Tableau","Power BI,Python,Communication"
"Data Scientist","Data","4","Python,Machine Learning,Deep Learning,SQL","AWS,Prompt Engineering,Tableau"
"ML Engineer","Data","4","Python,Machine Learning,Docker,Kubernetes","GCP,FastAPI,System Design"
"Backend Developer","IT","3","Java,Node.js,REST APIs,SQL","Docker,AWS,Testing Automation"
"Frontend Developer","IT","3","React,TypeScript,JavaScript,UI UX Design","GraphQL,Testing Automation,Communication"
"Full Stack Developer","IT","4","React,Node.js,SQL,Docker","AWS,TypeScript,CI CD"
"Cloud Engineer","Engineering","4","AWS,Terraform,Docker,Kubernetes","Azure,GCP,Linux"
"DevOps Engineer","Engineering","4","CI CD,Docker,Kubernetes,Linux","Terraform,AWS,Git"
"QA Engineer","Engineering","3","Testing Automation,JavaScript,REST APIs,Problem Solving","CI CD,Communication,SQL"
"Security Analyst","Security","3","Cybersecurity,Linux,Problem Solving,Communication","AWS,Python,Stakeholder Management"
"Product Manager","Product","5","Product Strategy,Project Management,Stakeholder Management,Communication","Data Analysis,Agile Methodology,Leadership"
"HR Manager","HR","5","Leadership,Communication,Negotiation,Project Management","Stakeholder Management,Time Management,Adaptability"
"UI UX Designer","Design","2","UI UX Design,Communication,Problem Solving,Adaptability","Product Strategy,Stakeholder Management,Teamwork"
